Using hybrid two-pass approach
APSC: Starting from 1860 to 198
Collapsed to 1383 vertices (cost: 27.1062)
Collapsed to 1382 vertices (cost: 43.9387)
Collapsed to 1381 vertices (cost: 44.3593)
Collapsed to 1380 vertices (cost: 44.4692)
Collapsed to 1379 vertices (cost: 45.3443)
Collapsed to 1378 vertices (cost: 45.3603)
Collapsed to 1377 vertices (cost: 46.4189)
Collapsed to 1376 vertices (cost: 19.3946)
Collapsed to 1375 vertices (cost: 46.8298)
Collapsed to 1374 vertices (cost: 46.8606)
Collapsed to 1373 vertices (cost: 47.0499)
Collapsed to 1372 vertices (cost: 47.1151)
Collapsed to 1371 vertices (cost: 39.2579)
Collapsed to 1370 vertices (cost: 47.3723)
Collapsed to 1369 vertices (cost: 1.64545)
Collapsed to 1368 vertices (cost: 4.54085)
Collapsed to 1367 vertices (cost: 47.4085)
Collapsed to 1366 vertices (cost: 3.30744)
Collapsed to 1365 vertices (cost: 47.6628)
Collapsed to 1364 vertices (cost: 47.7088)
Collapsed to 1363 vertices (cost: 47.8538)
Collapsed to 1362 vertices (cost: 40.4563)
Collapsed to 1361 vertices (cost: 48.5708)
Collapsed to 1360 vertices (cost: 48.8693)
Collapsed to 1359 vertices (cost: 48.8814)
Collapsed to 1358 vertices (cost: 48.9042)
Collapsed to 1357 vertices (cost: 49.0313)
Collapsed to 1356 vertices (cost: 1.08138)
Collapsed to 1355 vertices (cost: 49.5665)
Collapsed to 1354 vertices (cost: 0.000147195)
Collapsed to 1353 vertices (cost: 49.5741)
Collapsed to 1352 vertices (cost: 49.7072)
Collapsed to 1351 vertices (cost: 37.3463)
Collapsed to 1350 vertices (cost: 49.8488)
Collapsed to 1349 vertices (cost: 49.949)
Collapsed to 1348 vertices (cost: 50.0206)
Collapsed to 1347 vertices (cost: 22.9699)
Collapsed to 1346 vertices (cost: 50.1994)
Collapsed to 1345 vertices (cost: 50.9818)
Collapsed to 1344 vertices (cost: 51.0903)
Collapsed to 1343 vertices (cost: 18.9543)
Collapsed to 1342 vertices (cost: 51.1713)
Collapsed to 1341 vertices (cost: 51.5213)
Collapsed to 1340 vertices (cost: 51.5831)
Collapsed to 1339 vertices (cost: 39.088)
Collapsed to 1338 vertices (cost: 51.6443)
Collapsed to 1337 vertices (cost: 51.8911)
Collapsed to 1336 vertices (cost: 51.9174)
Collapsed to 1335 vertices (cost: 52.0627)
Collapsed to 1334 vertices (cost: 52.0802)
Collapsed to 1333 vertices (cost: 13.0745)
Collapsed to 1332 vertices (cost: 52.7903)
Collapsed to 1331 vertices (cost: 52.9875)
Collapsed to 1330 vertices (cost: 24.9154)
Collapsed to 1329 vertices (cost: 53.1927)
Collapsed to 1328 vertices (cost: 54.0716)
Collapsed to 1327 vertices (cost: 54.3875)
Collapsed to 1326 vertices (cost: 54.6526)
Collapsed to 1325 vertices (cost: 55.3668)
Collapsed to 1324 vertices (cost: 55.7607)
Collapsed to 1323 vertices (cost: 55.9516)
Collapsed to 1322 vertices (cost: 56.9861)
Collapsed to 1321 vertices (cost: 57.32)
Collapsed to 1320 vertices (cost: 57.3366)
Collapsed to 1319 vertices (cost: 57.6002)
Collapsed to 1318 vertices (cost: 57.6005)
Collapsed to 1317 vertices (cost: 4.07166)
Collapsed to 1316 vertices (cost: 57.6696)
Collapsed to 1315 vertices (cost: 58.6156)
Collapsed to 1314 vertices (cost: 20.8564)
Collapsed to 1313 vertices (cost: 58.8405)
Collapsed to 1312 vertices (cost: 58.8547)
Collapsed to 1311 vertices (cost: 58.8552)
Collapsed to 1310 vertices (cost: 59.5656)
Collapsed to 1309 vertices (cost: 59.9006)
Collapsed to 1308 vertices (cost: 59.9949)
Collapsed to 1307 vertices (cost: 60.0321)
Collapsed to 1306 vertices (cost: 60.7549)
Collapsed to 1305 vertices (cost: 60.9984)
Collapsed to 1304 vertices (cost: 61.3276)
Collapsed to 1303 vertices (cost: 61.8414)
Collapsed to 1302 vertices (cost: 62.1264)
Collapsed to 1301 vertices (cost: 30.0146)
Collapsed to 1300 vertices (cost: 62.3968)
Collapsed to 1299 vertices (cost: 18.8138)
Collapsed to 1298 vertices (cost: 62.7381)
Collapsed to 1297 vertices (cost: 37.2213)
Collapsed to 1296 vertices (cost: 18.8035)
Collapsed to 1295 vertices (cost: 62.9557)
Collapsed to 1294 vertices (cost: 63.0774)
Collapsed to 1293 vertices (cost: 63.1556)
Collapsed to 1292 vertices (cost: 63.4614)
Collapsed to 1291 vertices (cost: 10.3647)
Collapsed to 1290 vertices (cost: 63.7979)
Collapsed to 1289 vertices (cost: 23.86)
Collapsed to 1288 vertices (cost: 52.4523)
Collapsed to 1287 vertices (cost: 64.3699)
Collapsed to 1286 vertices (cost: 64.5231)
Collapsed to 1285 vertices (cost: 65.1607)
Collapsed to 1284 vertices (cost: 65.1789)
Collapsed to 1283 vertices (cost: 65.1958)
