Using hybrid two-pass approach
APSC: Starting from 2000 to 198
Collapsed to 1436 vertices (cost: 169.863)
Collapsed to 1435 vertices (cost: 171.429)
Collapsed to 1434 vertices (cost: 171.429)
Collapsed to 1433 vertices (cost: 171.743)
Collapsed to 1432 vertices (cost: 2.32439)
Collapsed to 1431 vertices (cost: 149.722)
Collapsed to 1430 vertices (cost: 172.558)
Collapsed to 1429 vertices (cost: 175)
Collapsed to 1428 vertices (cost: 175)
Collapsed to 1427 vertices (cost: 177.778)
Collapsed to 1426 vertices (cost: 180)
Collapsed to 1425 vertices (cost: 180)
Collapsed to 1424 vertices (cost: 180)
Collapsed to 1423 vertices (cost: 59.091)
Collapsed to 1422 vertices (cost: 182.292)
Collapsed to 1421 vertices (cost: 183.333)
Collapsed to 1420 vertices (cost: 9.6439e-05)
Collapsed to 1419 vertices (cost: 184.312)
Collapsed to 1418 vertices (cost: 186.667)
Collapsed to 1417 vertices (cost: 144.282)
Collapsed to 1416 vertices (cost: 72.5848)
Collapsed to 1415 vertices (cost: 95.8657)
Collapsed to 1414 vertices (cost: 166.663)
Collapsed to 1413 vertices (cost: 188.235)
Collapsed to 1412 vertices (cost: 190.086)
Collapsed to 1411 vertices (cost: 198.936)
Collapsed to 1410 vertices (cost: 150)
Collapsed to 1409 vertices (cost: 200)
Collapsed to 1408 vertices (cost: 200)
Collapsed to 1407 vertices (cost: 94.2309)
Collapsed to 1406 vertices (cost: 200)
Collapsed to 1405 vertices (cost: 185.714)
Collapsed to 1404 vertices (cost: 102.041)
Collapsed to 1403 vertices (cost: 175.824)
