Using hybrid two-pass approach
APSC: Starting from 1850 to 198
Collapsed to 1463 vertices (cost: 5.96943e-05)
Collapsed to 1462 vertices (cost: 233.333)
Collapsed to 1461 vertices (cost: 233.333)
Collapsed to 1460 vertices (cost: 80.3279)
Collapsed to 1459 vertices (cost: 235.294)
Collapsed to 1458 vertices (cost: 237.037)
Collapsed to 1457 vertices (cost: 27.1186)
Collapsed to 1456 vertices (cost: 243.476)
Collapsed to 1455 vertices (cost: 174.85)
Collapsed to 1454 vertices (cost: 37.9766)
Collapsed to 1453 vertices (cost: 243.75)
Collapsed to 1452 vertices (cost: 3.125)
Collapsed to 1451 vertices (cost: 25.4237)
Collapsed to 1450 vertices (cost: 3.96103e-05)
Collapsed to 1449 vertices (cost: 196.005)
Collapsed to 1448 vertices (cost: 246.729)
Collapsed to 1447 vertices (cost: 247.059)
Collapsed to 1446 vertices (cost: 247.619)
Collapsed to 1445 vertices (cost: 9.72645)
Collapsed to 1444 vertices (cost: 249.485)
Collapsed to 1443 vertices (cost: 250)
Collapsed to 1442 vertices (cost: 120)
Collapsed to 1441 vertices (cost: 250)
Collapsed to 1440 vertices (cost: 12.0371)
Collapsed to 1439 vertices (cost: 255.556)
Collapsed to 1438 vertices (cost: 24.1546)
Collapsed to 1437 vertices (cost: 221.212)
Collapsed to 1436 vertices (cost: 3.52628e-05)
Collapsed to 1435 vertices (cost: 9.02102e-06)
Collapsed to 1434 vertices (cost: 257.143)
Collapsed to 1433 vertices (cost: 257.143)
Collapsed to 1432 vertices (cost: 40.6779)
Collapsed to 1431 vertices (cost: 257.143)
Collapsed to 1430 vertices (cost: 0.000328166)
Collapsed to 1429 vertices (cost: 257.143)
Collapsed to 1428 vertices (cost: 259.239)
Collapsed to 1427 vertices (cost: 259.259)
Collapsed to 1426 vertices (cost: 260.274)
Collapsed to 1425 vertices (cost: 123.423)
Collapsed to 1424 vertices (cost: 262.5)
Collapsed to 1423 vertices (cost: 234.375)
Collapsed to 1422 vertices (cost: 262.5)
Collapsed to 1421 vertices (cost: 264.706)
Collapsed to 1420 vertices (cost: 3.37468e-05)
Collapsed to 1419 vertices (cost: 265.574)
Collapsed to 1418 vertices (cost: 0.000120221)
Collapsed to 1417 vertices (cost: 205.7)
Collapsed to 1416 vertices (cost: 160.204)
Collapsed to 1415 vertices (cost: 266.017)
Collapsed to 1414 vertices (cost: 266.667)
Collapsed to 1413 vertices (cost: 3.00235e-06)
Collapsed to 1412 vertices (cost: 166.667)
Collapsed to 1411 vertices (cost: 266.667)
Collapsed to 1410 vertices (cost: 105.66)
Collapsed to 1409 vertices (cost: 266.667)
Collapsed to 1408 vertices (cost: 1.24184e-05)
Collapsed to 1407 vertices (cost: 155.556)
Collapsed to 1406 vertices (cost: 266.667)
Collapsed to 1405 vertices (cost: 266.667)
Collapsed to 1404 vertices (cost: 42.4242)
Collapsed to 1403 vertices (cost: 266.667)
Collapsed to 1402 vertices (cost: 270)
Collapsed to 1401 vertices (cost: 270.037)
Collapsed to 1400 vertices (cost: 270.251)
Collapsed to 1399 vertices (cost: 275)
Collapsed to 1398 vertices (cost: 275.458)
Collapsed to 1397 vertices (cost: 275.492)
Collapsed to 1396 vertices (cost: 276.696)
Collapsed to 1395 vertices (cost: 276.923)
Collapsed to 1394 vertices (cost: 115.714)
Collapsed to 1393 vertices (cost: 57.2024)
Collapsed to 1392 vertices (cost: 283.594)
Collapsed to 1391 vertices (cost: 284.211)
Collapsed to 1390 vertices (cost: 285.088)
Collapsed to 1389 vertices (cost: 285.714)
Collapsed to 1388 vertices (cost: 246.154)
Collapsed to 1387 vertices (cost: 289.796)
Collapsed to 1386 vertices (cost: 290.909)
Collapsed to 1385 vertices (cost: 220.548)
Collapsed to 1384 vertices (cost: 294.145)
Collapsed to 1383 vertices (cost: 296.853)
Collapsed to 1382 vertices (cost: 300)
Collapsed to 1381 vertices (cost: 300)
Collapsed to 1380 vertices (cost: 300)
Collapsed to 1379 vertices (cost: 167.222)
Collapsed to 1378 vertices (cost: 200)
Collapsed to 1377 vertices (cost: 300)
Collapsed to 1376 vertices (cost: 300)
Collapsed to 1375 vertices (cost: 300.929)
Collapsed to 1374 vertices (cost: 23.5294)
Collapsed to 1373 vertices (cost: 266.667)
Collapsed to 1372 vertices (cost: 6.50874e-05)
Collapsed to 1371 vertices (cost: 303.859)
Collapsed to 1370 vertices (cost: 306.383)
